Run Number,Start Time,Stop Time
0,2024-10-11 11:35:18,2024-10-11 11:36:15
0,2024-10-11 11:38:17,2024-10-11 11:40:24
1,2024-10-11 11:45:03,2024-10-11 11:45:34
2,2024-10-11 11:56:03,2024-10-11 11:56:39
3,2024-10-11 11:57:52,2024-10-11 11:58:23
4,2024-10-11 12:02:27,2024-10-11 12:02:55
5,2024-10-11 12:03:51,2024-10-11 12:04:13
6,2024-10-11 12:10:44,2024-10-11 12:11:22
7,2024-10-11 12:14:27,2024-10-11 12:15:39
8,2024-10-11 12:15:47,2024-10-11 12:16:49
9,2024-10-11 12:24:23,2024-10-11 12:25:11
10,2024-10-11 12:26:49,2024-10-11 12:28:37
10,2024-10-11 12:29:19,2024-10-11 12:30:14
10,2024-10-11 12:41:16,2024-10-11 12:43:58
11,2024-10-11 12:46:47,2024-10-11 12:49:42
12,2024-10-12 15:22:31,
12,2024-10-12 15:28:07,
12,2024-10-12 15:30:54,
12,2024-10-12 15:34:55,
12,2024-10-12 15:38:37,2024-10-12 15:39:50
13,2024-10-12 15:50:46,2024-10-12 15:51:57
13,2024-10-12 15:52:11,
13,2024-10-12 16:04:28,2024-10-12 16:04:58
14,2024-10-12 16:07:47,
14,2024-10-12 16:10:24,2024-10-12 16:10:50
15,2024-10-12 16:17:55,2024-10-12 16:18:30
16,2024-10-12 16:19:19,2024-10-12 16:19:53
16,2024-10-12 16:23:24,2024-10-12 16:23:59
17,2024-10-12 16:24:30,2024-10-12 16:25:00
